,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
338,birao,71,CF,1660789459,98,10.2849,22.7882,294.29,1.97
339,batagay-alyta,95,RU,1660789460,65,67.8006,130.4114,287.63,1.9
340,tabas,0,IR,1660789460,16,33.5959,56.9244,298.8,1.5
341,ponta do sol,93,PT,1660789460,65,38.7333,-28.2667,292.4,2.15
342,belaya gora,6,UA,1660789461,93,49.029,25.7706,289.64,3.36
343,lompoc,40,US,1660789461,90,34.6391,-120.4579,300.81,3.6
344,san cristobal,100,ML,1660789462,88,13.3034,-4.8956,296.84,4.02
345,tual,100,ID,1660789462,75,-5.6667,132.75,299.53,9.53
346,liku,100,ID,1660789462,66,-0.7275,119.8922,302.12,0.97
347,westport,100,US,1660789408,87,41.1415,-73.3579,294.14,2.06
348,pouembout,25,NC,1660789463,68,-21.1333,164.9,294.24,3.53
349,baruun-urt,100,MN,1660789463,42,46.6806,113.2792,290.11,6.77
350,chahal,90,GT,1660789463,98,15.75,-89.5667,295.07,0.46
351,mortka,100,RU,1660789464,71,59.3322,66.0214,280.53,3.02
352,ajdabiya,0,LY,1660789464,67,30.7554,20.2263,299.22,3.39
353,manggar,32,ID,1660789465,69,-2.8833,108.2667,302.21,7.07
354,shipitsyno,100,RU,1660789465,73,61.2806,46.5208,292.19,0.54
355,talnakh,19,RU,1660789465,54,69.4865,88.3972,283.82,7.12
356,miri,20,MY,1660789466,79,4.4148,114.0089,303.23,1.54
357,pangody,15,RU,1660789466,83,65.85,74.4859,283.31,6.62
358,crotone,0,IT,1660789381,62,39.0851,17.1178,301.03,1.54
359,itaituba,39,BR,1660789466,51,-4.2761,-55.9836,298.83,0.65
360,kushima,26,JP,1660789467,60,31.4583,131.2333,305.56,3.34
361,karaton,23,ID,1660789467,74,-6.3424,106.1045,300.44,0.41
362,nisporeni,16,MD,1660789467,94,47.0814,28.1783,292.27,2.98
363,maniitsoq,10,GL,1660789468,86,65.4167,-52.9,278.48,1.74
364,brufut,75,GM,1660789468,94,13.3814,-16.7518,297.2,0.0
365,vostok,98,RU,1660789468,45,46.4856,135.8833,297.8,2.79
